Aadhaar ID name,Gender,Pet Name,Location,Colour/Pattern,Description,Collar colour/type,Neutering status,Date of latest vaccination,Pictures,Date of Survery (29/03/26),(12/04/26),Image Links
Dog 1,Male,-,Tulita,chocolate brown,"pointy ears,timid, black snout",no collar,non neutered,not vaccinated,https://drive.google.com/drive/folders/11E-G7xjR2x4KeZ9kkPAF8XZUz3bUoMUN?usp=sharing,spotted,-,https://drive.google.com/file/d/1VgSo72Ax76eegF2jDiUAN1wX0zXKn7Ht/view?usp=sharing
Dog 2,Female,Dora,Tulita,Tan with white patches,"Black snout, dark eye rims,pointy ears",red collar (without QR),neutered,mid of December,https://drive.google.com/drive/folders/1ur0-7OGNDkR4qf-qKy-sdNufkpLWuqXT?usp=sharing,spotted,-,https://drive.google.com/file/d/1tcTHC4BKeCcJlS7wmTrdU3FaD2JjO7Z7/view?usp=sharing
Dog 3,Male,-,Faculty residence,Light brown,"Old, with some facial scarring",no collar,non neutered,not vaccinated,https://drive.google.com/drive/folders/1_CyHsrHpj6Vs_8bvIcl8dEtyvAHfzfO7?usp=sharing,not spotted,spotted,
Dog 4,Female,Chitti,C Block,Cream,"Pink nose, flop ears",red collar (with QR),non neutered,mid of December,https://drive.google.com/drive/folders/1InfgLqExm4gwDpBec5fuPorj7FiQdhly?usp=sharing,spotted,-,https://drive.google.com/file/d/1tDD55GqsjwMUlusi11FUarlQJZvaacE5/view?usp=sharing https://drive.google.com/file/d/1wMk4rS7a_3qk1mO2AqOoqoD5H0Ul8426/view?usp=sharing 
Dog 5,Male,Stubby,C Block,Brown,"Stubbed tail, floppy ears",blue collar (with QR),non neutered,not vaccinated,https://drive.google.com/drive/folders/1AAWefv6-QmG63Q6JElwiUqyjFT3dU3sG?usp=sharing,spotted,-,https://drive.google.com/file/d/1ySaFVIkEd5FXB5RF5hRgQXIEXhgnddQL/view?usp=sharing https://drive.google.com/file/d/1PbIKQGzW3oip9bMXHJ4dm9JQTZgjEndV/view?usp=sharing 
Dog 6,Male,-,Research block,Brown,"Curled tail, dark muzzle, muscular build",blue collar (with QR),non neutered,not vaccinated,https://drive.google.com/drive/folders/1bucBukRhQpK4OQzj76RfkeW_hWk6wWLx?usp=sharing,spotted,-,https://drive.google.com/file/d/1z-6xuQfUXDAt-rpH0Xf3ZWucJzPAGrbj/view?usp=sharing  https://drive.google.com/file/d/1ZPvpulPRVeZZ5AUmnrBsTuI6fN5G4gmP/view?usp=sharing 
Dog 7,Female,Jumpy,Wellness clinic,Cream with light brown patches,"very jumpy, always covered in dirt",red collar (with OR),non neutered,not vaccinated,https://drive.google.com/drive/folders/1YlxiTawVnIJzC5ZNnWwkjcXxT5v0TT8F?usp=sharing,spotted,-,https://drive.google.com/file/d/1nfwV4LHxmjeaCnYrTlcopfdCi0sP2ql-/view?usp=sharing 
Dog 8,Male,,Research Block,Tan," Pup, Pointy ears",blue collar (without QR),non neutered,not vaccinated,https://drive.google.com/drive/folders/1Ged22D0E3Txdm8-uvzbANL87qqsQqULP?usp=sharing,spotted,-,https://drive.google.com/file/d/17aJiyUomQdJaIKDJQFFZ4DTxsY7GN3F4/view?usp=sharing https://drive.google.com/file/d/1lzC-WUFYrgrNZe5dmjP58LdamOK5Cbp1/view?usp=sharing https://drive.google.com/file/d/1gSELAgyRWUq1_lFaTG7qUwYdMMETv7Q9/view?usp=sharing 
Dog 9,Female,-,Research block,Cream,"pup, pointy ears, with scarring under left front limb",red collar(without QR),non neutered,not vaccinated,https://drive.google.com/drive/folders/1Q9IQutEe7hI1s4U5c_HeSAvM7E2bWX_g?usp=sharing,spotted,-,https://drive.google.com/file/d/1Vv8H-nhBcja5P0OI_cK6HMj13oVGNBEe/view?usp=sharing https://drive.google.com/file/d/1iAN-XB5kHlrPe5tDRx7TdbQupSTPyoxw/view?usp=sharing 
Dog 10,Male,,Guest house,Brown,Scars along the Spine,red collar (without QR),neutered,vaccinated,https://drive.google.com/drive/folders/1BvwMG72uejQsIc7Mots7G47apcRspUcm?usp=sharing,spotted,-,https://drive.google.com/file/d/1acTlEGb9W2W22tToa28Aq_pNM9zOTQPj/view?usp=sharing https://drive.google.com/file/d/1lIVaIrg1ZGsNy4ZqEZkRjdQ20TZ07Bmd/view?usp=sharing https://drive.google.com/file/d/1hJMnUY5oYNaDuVt0HpeAZdiCwHlVvrDg/view?usp=sharing https://drive.google.com/file/d/1WmNfiNPJIy1J7USEQlFYNNrjkg1kGMPs/view?usp=sharing 
Dog 11,Female,crema?,Guest house,Cream,"Pointy ears, curled tail",dark green (without QR),neutered,vaccinated,https://drive.google.com/drive/folders/1r0eNrGZ4GBRz_e7IKnUA0bP2s8aeRl-N?usp=sharing,spotted,-,https://drive.google.com/file/d/13np-8Ibt24w3AkqMpcB4eaQNkwpaK1qz/view?usp=sharing 
Dog 12,Male,socsac,Dining block,Brown,"Old, floppy ears",black(with QR),neutered,not vaccinated,https://drive.google.com/drive/folders/1EPPL9I1XrxzbSyFz3tTqPmyBa0D7i2yE?usp=sharing,spotted,-,https://drive.google.com/file/d/1ok92XFP5UiAAwhEFbSalC4vo5kJykTFh/view?usp=sharing https://drive.google.com/file/d/1urn5Dl6NeL8FudxQn9Z46pf9Sqi6Ioiu/view?usp=sharing 
Dog 13,Male,,Dining block,"White, with brown patches","Young adult, floppy ears",no collar,non neutered,vaccinated,https://drive.google.com/drive/folders/153Blfy-0I94fCKGLCSJSaa98fJGTlv54?usp=sharing,spotted,-,https://drive.google.com/file/d/1d8j7V_2vJixxgabQDHYyD1kpaonuNzhQ/view?usp=sharing 
Dog 14,,,Dining block,"white, black face",young adult,blue collar(with QR),non neutered,vaccinated,https://drive.google.com/drive/folders/1lUU7lIEfqVEmRidM0b_Ra40s2oTrlnf0?usp=sharing,spotted,-,https://drive.google.com/file/d/1a92xOVEAXZ1AhwWDHk8kNReBiQMl5dwh/view?usp=sharing 
